zip_code,first_dose,second_dose,single_dose,atleast_one_dose,fully_vaccinated,today,city,state,county,area_code,lat,lon
20011,10695,6053,596,11291,6649,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.95261,-77.017898
20002,6910,4454,603,7513,5057,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.908218,-76.982147
20009,6128,4125,731,6859,4856,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.919261,-77.039798
20019,7957,4427,290,8247,4717,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.891561,-76.939396
20016,6451,3793,452,6903,4245,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.93826,-77.091149
20001,5148,3380,505,5653,3885,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.911936,-77.016719
20008,5165,3385,448,5613,3833,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.93521,-77.060399
20020,5541,3122,247,5788,3369,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.85761,-76.971547
20015,4995,3095,236,5231,3331,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.96926,-77.070949
20010,3928,2624,326,4254,2950,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.932711,-77.030248
20007,3656,2325,326,3982,2651,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.914561,-77.075649
17331,2916,2376,265,3181,2641,2022-04-26,Hanover,PA,YORK,NA,39.935502,-76.672739000000007
20003,3391,2184,336,3727,2520,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.860315,-76.988897
20032,4248,2228,210,4458,2438,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.8368,-76.997697
20012,4152,2129,166,4318,2295,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.980231,-77.026298
17268,2170,1727,334,2504,2061,2022-04-26,Waynesboro,PA,FRANKLIN,NA,39.793552,-77.59228
17225,2036,1638,269,2305,1907,2022-04-26,Greencastle,PA,FRANKLIN,NA,39.805922,-77.726127
20017,3408,1714,162,3570,1876,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.93846,-76.993068
20018,3116,1596,132,3248,1728,2022-04-26,Washington,DC,DISTRICT OF COLUMBIA,NA,38.93056,-76.977953
19975,2267,1503,109,2376,1612,2022-04-26,Selbyville,DE,SUSSEX,NA,38.550784,-75.330307
25419,1863,1327,201,2064,1528,2022-04-26,Falling Waters,WV,BERKELEY,NA,39.572966,-77.882155
19702,1937,1410,94,2031,1504,2022-04-26,Newark,DE,NEW CASTLE,NA,39.614737,-75.701277
19940,1683,1294,156,1839,1450,2022-04-26,Delmar,DE,SUSSEX,NA,38.631744,-75.324585
17314,1666,1180,259,1925,1439,2022-04-26,Delta,PA,YORK,NA,39.792142,-76.54384
22201,1686,1159,154,1840,1313,2022-04-26,Arlington,VA,ARLINGTON,NA,38.885484,-77.099113
